,URL_ID_x,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,URL_ID_y,Avg_Sentence_Length,Percentage_Complex_Words,Fog_Index,Avg_Words_Per_Sentence,Complex_Word_Count,Word_Count,Syllable_Count_Per_Word,Personal_Pronoun_Count,Avg_Word_Length
0,123,88,24,0.5714285663265307,0.0600536192707487,123.0,23.3125,0.7581769436997319,9.628270777479893,23.3125,1414,1040,1.597319034852547,2,5.13941018766756
1,321,41,13,0.5185185089163239,0.0792951540685827,321.0,27.24,0.7386196769456681,11.191447870778267,27.24,503,343,1.5447870778267254,3,5.098384728340675
2,432,44,27,0.2394366163459631,0.0511159106903413,432.0,23.15,0.7508999280057596,9.560359971202304,23.15,1043,761,1.529157667386609,6,5.05183585313175
3,2893,56,12,0.647058814013841,0.0515151514761248,2893.8,20.307692307692307,0.7507575757575757,8.423379953379953,20.307692307692307,991,715,1.5196969696969698,5,4.990151515151515
4,3355,43,10,0.6226414976860095,0.0430194804845621,3355.6,27.377777777777776,0.7069805194805194,11.23390331890332,27.377777777777776,871,624,1.5113636363636365,1,4.99512987012987
5,3817,72,6,0.8461538353057201,0.0397350993175063,3817.4,20.447916666666668,0.7218543046357616,8.467908388520973,20.447916666666668,1417,1010,1.4966887417218544,4,4.847172694854814
6,4321,44,27,0.2394366163459631,0.0511159106903413,4321.0,23.15,0.7508999280057596,9.560359971202304,23.15,1043,761,1.529157667386609,6,5.05183585313175
7,4741,28,47,-0.2533333299555556,0.0638297871797193,4741.0,23.5,0.7268085106382979,9.69072340425532,23.5,854,625,1.5761702127659574,6,5.017021276595744
8,5202,16,10,0.2307692218934914,0.0545073374119343,5202.8,17.035714285714285,0.7211740041928721,7.102755315962863,17.035714285714285,344,235,1.427672955974843,4,4.622641509433962
9,5664,42,16,0.4482758543400715,0.0375161707389934,5664.6,24.15625,0.7218628719275549,9.951245148771022,24.15625,1116,779,1.4016817593790427,7,4.620957309184994
10,6126,25,3,0.7857142576530622,0.0430769230106508,6126.4,30.952380952380956,0.7153846153846154,12.667106227106228,30.952380952380956,465,331,1.44,1,4.809230769230769
11,6588,23,11,0.3529411660899657,0.0287891617029727,6588.2,45.42307692307692,0.6934801016088061,18.44662280987429,45.42307692307692,819,578,1.3073666384419984,4,4.377646062658764
12,7050,29,14,0.3488372011898325,0.0417070804639116,7050.0,24.547619047619047,0.6983511154219205,10.098388065216389,24.547619047619047,720,538,1.4122211445198836,1,4.715809893307468
13,7511,40,26,0.2121212089072544,0.0440881763232543,7511.8,27.72222222222222,0.678690714762859,11.360365174794032,27.72222222222222,1016,696,1.282565130260521,19,4.286573146292585
14,7973,38,25,0.2063492030738221,0.0494505494117342,7973.6,31.85,0.7127158555729984,13.0250863422292,31.85,908,621,1.3948194662480378,7,4.837519623233909
15,8897,71,37,0.3148148118998629,0.0651780325496813,8897.2,20.45679012345679,0.6789378394689197,8.454291185170284,20.45679012345679,1125,783,1.2969221484610742,6,4.303560651780326
16,9359,74,36,0.3454545423140496,0.0569063631366237,9359.0,22.476744186046517,0.7046042421107087,9.272539371262887,22.476744186046517,1362,1050,1.537506466632178,2,4.907915157785825
17,9820,86,28,0.5087719253616498,0.0616883116549305,9820.8,19.25,0.6975108225108225,7.979004329004329,19.25,1289,963,1.3636363636363635,17,4.428030303030303
18,10282,68,27,0.4315789428254848,0.0476668338947983,10282.6,24.9125,0.7019568489713999,10.24578273958856,24.9125,1399,993,1.3983943803311591,12,4.607626693426995
19,10744,57,23,0.4249999946875001,0.0530856004956299,10744.4,23.184615384615384,0.6994027869940279,9.553607268643765,23.184615384615384,1054,732,1.3463835434638354,18,4.497677504976775
20,11206,29,12,0.4146341362284357,0.0478971962057275,11206.2,18.608695652173918,0.7102803738317757,7.727590410402276,18.608695652173918,608,423,1.394859813084112,7,4.56892523364486
21,12129,44,13,0.5438596395814098,0.0683453236590583,12129.8,22.54054054054054,0.7182254196642686,9.303506384081924,22.54054054054054,599,429,1.2997601918465227,2,4.393285371702638
22,12591,80,41,0.3223140469230244,0.0498147385550371,12591.6,29.621951219512194,0.6867023466447097,12.123461426462764,29.621951219512194,1668,1208,1.403458213256484,9,4.510498147385755
23,13053,63,68,-0.0381679386399394,0.0543343010973312,13053.4,22.96190476190476,0.6748237245956035,9.454691394600149,22.96190476190476,1627,1188,1.3517212774782248,1,4.408544172542514
24,13515,46,22,0.3529411712802769,0.0511662904054429,13515.2,22.52542372881356,0.745673438675696,9.308438866995704,22.52542372881356,991,728,1.583145221971407,8,5.102332580887886
